MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
9/29/2014 12:20:25 PM,000200062396,000700109909,Jebsen & Jessen Technology (T) Ltd,ตัวเลขวิ่ง,Soontorn_p,Assigned
9/8/2014 11:00:02 AM,000200062157,000700109435,Jebsen & Jessen Technology (T) Ltd,training,Soontorn_p,Assigned
9/25/2014 3:38:12 PM,000100721005,000300580912,ศูนย์วิจัยข้าวปทุมธานี,Err3,Soontorn_p,Assigned
9/23/2014 12:23:32 PM,000100720642,000300579818,"A D sci & service co., ltd.",สอบเทียบ*อนุมัติ 856*,Soontorn_p,Assigned
9/2/2014 12:04:40 PM,000100717801,000300577945,บริษัท ประรัตน์ตรา จำกัด,สอบเทียบ*อนุมัติ 1200*,Soontorn_p,Assigned
9/10/2014 5:33:35 PM,000100719042,000300578754,K.Thaithamrong Engineering,อ่านค่าไม่ตรง,Soontorn_p,Assigned
9/3/2014 12:33:15 PM,000200062122,000700109336,Jebsen & Jessen Technology (T) Ltd,installation,Soontorn_p,Assigned
9/22/2014 2:49:42 PM,000100720484,000300579697,"A D sci & service co., ltd.",สอบเทียบ*อนุมัติ1284*,Soontorn_p,Assigned
9/19/2014 5:06:29 PM,000200062317,000700109732,Jebsen & Jessen Technology (T) Ltd,ตีตราเครื่องชั่ง,Soontorn_p,Assigned
9/8/2014 10:37:09 AM,000100718560,000700109424,Jebsen & Jessen Technology (T) Ltd,training,Soontorn_p,Assigned
9/2/2014 4:38:26 PM,000100717900,000300578201,D & N Food,ไม่แจ้งอาการ,Soontorn_p,Assigned
9/17/2014 10:11:56 AM,000100719835,000300579236,"Zepper Instruments Co.,Ltd.",ต่อปริ้นเตอร์ไม่ได้,Soontorn_p,Assigned
9/17/2014 5:57:10 PM,000200062280,000700109669,Jebsen & Jessen Technology (T) Ltd,สอบเทียบ*JR*,Soontorn_p,Assigned
9/19/2014 3:28:32 PM,000100720260,000300580010,"Life I-Tech Co.,Ltd.",สปริงหัก,Soontorn_p,Assigned
9/23/2014 10:00:18 AM,000200062352,000700109771,Jebsen & Jessen Technology (T) Ltd,สอบเทียบ*JR*,Soontorn_p,Assigned
9/17/2014 6:01:44 PM,000200062281,000700109670,Jebsen & Jessen Technology (T) Ltd,สอบเทียบ*JR*,Soontorn_p,Assigned
9/29/2014 2:23:47 PM,000200062397,000700109921,Jebsen & Jessen Technology (T) Ltd,ตัวเลขวิ่ง,Soontorn_p,Assigned
9/26/2014 12:04:04 PM,000200062394,000700109877,Jebsen & Jessen Technology (T) Ltd,ตีตราเครื่องชั่ง,Soontorn_p,Assigned
9/16/2014 7:11:27 PM,000100719774,000300579216,"Green Banyan Co.,Ltd.",motor defect,Soontorn_p,Assigned
9/11/2014 9:54:07 AM,000100719094,000400124347,"Dairy Plus Co.,Ltd.",set 0 ไม่ได้,Soontorn_p,Assigned
9/19/2014 2:06:45 PM,000100720245,000300579543,"Ilab Fluid Control Co., Ltd",สอบเทียบ*อนุมัติ1284*,Soontorn_p,Assigned
9/11/2014 10:14:55 AM,000100719097,000300580520,"Sopon Lab Center Co., Ltd",Error,Soontorn_p,Waiting for Parts
9/11/2014 10:09:46 AM,000100719096,000300580093,"Bang Trading 1992 Co.,ltd",Error,Soontorn_p,Waiting for Parts
9/26/2014 11:19:35 AM,000100721119,000300580138,"Danone Dairy (Thailand) Co.,Ltd.",Error,Soontorn_p,Waiting for Parts
